Author,Original_Text,Translated_Text,Emotion,Confidence_Score
Wallada,Même si je pouvais te cacher dans les pupilles de mes yeux,Even if I could hide you in the pupils of my eyes,DISGUST,0.3081
Wallada,"et t'y cacher jusqu'au Jour du Jugement,","and hide in it until the Day of Judgment,",NEUTRAL,0.8697
Wallada,ma peur ne serait toujours pas apaisée.,My fear would still not be soothed.,FEAR,0.9845
Wallada,"Ta passion m'a rendu célèbre parmi les hauts et les bas,","Your passion made me famous among the ups and downs,",JOY,0.7133
Wallada,ton visage dévore mes sentiments et mes pensées.,Your face devours my feelings and thoughts.,DISGUST,0.7873
Wallada,"je ne peux pas être consolé,","I can't be comforted,",SADNESS,0.9467
Wallada,tous mes soucis et mes ennuis s'envolent.,All my worries and my troubles are flying away.,FEAR,0.6079
Wallada,"Si tu avais été vraiment sincère dans l’amour qui nous unissait,","If you had been truly sincere in the love that unites us,",NEUTRAL,0.7593
Wallada,"à moi, un de mes propres esclaves.",One of my own slaves.,DISGUST,0.8783
Wallada,"Ce faisant, vous avez méprisé la branche qui fleurit de beauté et choisi une branche qui ne porte que des fruits durs et amers.","In doing so, you despised the branch that blooms with beauty and chooses a branch that bears only hard and bitter fruit.",ANGER,0.5108
Wallada,"Tu sais que je suis la lune claire et brillante des cieux mais,","You know I'm the bright and clear moon of heaven, but,",NEUTRAL,0.4887
Wallada,"tu as choisi, à la place, une planète sombre et ombragée.","Instead, you chose a dark, shaded planet.",NEUTRAL,0.5062
Wallada,"Le surnom qu'ils vous donnent est Numéro Six et il vous restera jusqu'à votre mort parce que vous êtes une tapette,","The nickname they give you is Number Six and you will remain until your death because you are a faggot,",ANGER,0.5922
Wallada,"un salaud, un fornicateur, un cocu, un porc et un voleur.","A bastard, a fornicator, a cuckold, a pig and a thief.",DISGUST,0.8964
Wallada,"Si un phallus pouvait devenir un palmier,","If a phallus could become a palm tree,",NEUTRAL,0.7742
Wallada,vous vous transformeriez en Picidae.,You'd turn into Picidae.,NEUTRAL,0.9001
Wallada,"Je suis jaloux de mes yeux, de moi partout, de toi-même, de ton temps et de ton lieu.","I'm jealous of my eyes, of me everywhere, of yourself, of your time, and of your place.",ANGER,0.9365
Wallada,"Même si tu es gravé dans mes pupilles,","Even if you're engraved in my pupils,",NEUTRAL,0.5721
Wallada,ma jalousie ne cessera jamais.,My jealousy will never stop.,ANGER,0.9804
Hildegard von Bingen,Comme est grand en sa force le côté de l’homme,How great in his strength is man's side,SURPRISE,0.6154
Hildegard von Bingen,"d’où Dieu a fait sortir la forme de la femme,","where God brought out the shape of the woman,",DISGUST,0.4306
Hildegard von Bingen,dont il a fait le miroir de toute sa beauté,of which he has made the mirror of all his beauty,NEUTRAL,0.8463
Hildegard von Bingen,et l’entrelacement de toute sa création.,and the interlacing of all its creation.,NEUTRAL,0.9064
Hildegard von Bingen,Dès lors les instruments célestes résonnent,From then on the celestial instruments resonate,NEUTRAL,0.6389
Hildegard von Bingen,"et toute la terre s’émerveille,","and all the earth marvels,",JOY,0.4772
Hildegard von Bingen,Combien faut-il déplorer et regretter,How much to regret and regret,SADNESS,0.9343
Hildegard von Bingen,"que, pour une faute commise","that, for a fault committed",SADNESS,0.4412
Hildegard von Bingen,"sur les conseils du serpent,","on the advice of the serpent,",NEUTRAL,0.3449
Hildegard von Bingen,la tristesse se soit infiltrée dans la femme !,The sadness has infiltrated the woman!,SADNESS,0.9812
Hildegard von Bingen,dont Dieu a fait la mère de tous,of which God has made the mother of all,NEUTRAL,0.6851
Hildegard von Bingen,s’est lacéré les entrailles,lacerated the bowels,ANGER,0.3733
Hildegard von Bingen,avec les blessures de l’ignorance,with the wounds of ignorance,SADNESS,0.7354
Hildegard von Bingen,et a porté sa pleine douleur pour sa descendance.,and bore his full pain for his offspring.,SADNESS,0.415
Hildegard von Bingen,"Mais, ô aurore, de tes entrailles","But, O aurora, of your bowels",NEUTRAL,0.8531
Hildegard von Bingen,qui effaça tous les méfaits d’Ève,who erased all the evils of Eve,NEUTRAL,0.6045
Hildegard von Bingen,et donna par toi une bénédiction plus grande,and gave by thee a greater blessing,JOY,0.9113
Hildegard von Bingen,"Ô Salvatrice, qui as porté la lumière nouvelle","O Salvator, who brought new light",JOY,0.3717
Hildegard von Bingen,rassemble les membres de ton fils,bring together your son's members,NEUTRAL,0.8869
